"ANIO FISCAL","MES FISCAL","TIPO CONTRIBUYENTE","ACTIVIDAD ECONÓMICA","IMPUESTO CAUSADO (601)","IMP A PAGAR POR PERCEPCION (699)","IMP A PAGAR POR RETENCION (799)","TOTAL COMPRAS LOCALES E IMPORTAC (519)","TOTAL VENTAS Y EXPORTACIONES (419)"
"2011","10","SOCIEDADES","C105009","30961.64","26775.39","11154.5","2051670.72","2499628.63"
"2011","10","SOCIEDADES","C105010","0.59","0.59","171.43","33007.77","20867.89"
"2011","10","SOCIEDADES","C107101","136777.66","105615.79","187589.0","1.851461897E7","1.803637986E7"
"2011","10","SOCIEDADES","C107102","251843.61","244400.29","31897.1","3184849.79","4465175.59"
"2011","10","SOCIEDADES","C107109","5143.01","5047.1","327.41","64663.74","89224.45"
"2011","10","SOCIEDADES","C110301","3011709.85","3011709.85","522081.7","2.144432431E7","4.472889557E7"
"2011","11","SOCIEDADES","C105001","266643.0","266140.25","121043.23","1.690875802E7","2.00238204E7"
"2011","11","SOCIEDADES","C105002","0.0","0.0","14250.27","1917263.8","2349477.66"
"2011","11","SOCIEDADES","C105004","2330.23","2203.7","1642.9","632063.7","678626.16"
"2011","11","SOCIEDADES","C105005","312358.07","306404.91","1076099.38","2.409491634E7","2.378035282E7"
"2011","11","SOCIEDADES","C105006","90968.37","90898.62","17687.43","3948536.35","5136797.5"
"2011","11","SOCIEDADES","C105009","28462.36","25233.53","11671.92","1978299.77","2573907.4"
"2011","11","SOCIEDADES","C105010","0.59","0.59","0.0","17225.9","22555.73"
"2011","11","SOCIEDADES","C107101","272811.27","196595.99","206919.89","1.774624346E7","1.924051772E7"
"2011","11","SOCIEDADES","C107102","218986.12","211417.4","27219.84","3577713.42","4439447.01"
"2011","11","SOCIEDADES","C107109","5594.27","3825.04","302.73","50963.41","80169.27"
"2011","11","SOCIEDADES","C110301","3729792.65","3729792.65","954174.34","2.280403144E7","5.260893788E7"
"2011","12","SOCIEDADES","C105001","205128.0","204570.5","151185.64","2.048302425E7","2.506388763E7"
"2011","12","SOCIEDADES","C105002","0.0","0.0","23912.32","2090845.01","1776337.54"
"2011","12","SOCIEDADES","C105004","2885.21","2617.24","3607.09","697063.53","818305.81"
"2011","12","SOCIEDADES","C105005","574192.83","567996.86","433391.27","2.149274209E7","2.309251315E7"
"2011","12","SOCIEDADES","C105006","161328.97","161105.5","16259.13","4130341.28","5954000.29"
"2011","12","SOCIEDADES","C105009","28276.17","25901.73","17745.65","2531903.52","2850411.16"
"2011","12","SOCIEDADES","C105010","0.58","0.58","0.0","14180.16","19050.33"
"2011","12","SOCIEDADES","C107101","292064.86","259308.29","253519.88","1.985791801E7","1.933449255E7"
"2011","12","SOCIEDADES","C107102","332252.51","313560.56","30099.92","3480311.65","5520958.4"
"2011","12","SOCIEDADES","C107109","5268.99","5268.39","382.69","82272.24","88538.92"
"2011","12","SOCIEDADES","C110301","5725493.28","5725493.28","505525.06","1.807974797E7","6.396690899E7"
"2012","1","SOCIEDADES","C105001","388538.22","388016.22","114715.78","1.674918158E7","2.18227739E7"
"2012","1","SOCIEDADES","C105002","0.0","0.0","15160.39","1744049.27","2200006.04"
"2012","1","SOCIEDADES","C105004","2655.56","2424.71","1682.36","696314.08","690487.96"
"2012","1","SOCIEDADES","C105005","1063080.98","1052691.56","363763.82","1.20403409E7","2.003157527E7"
"2012","1","SOCIEDADES","C105006","36516.15","36512.67","26870.46","4126288.85","4749445.93"
"2012","1","SOCIEDADES","C105009","39360.92","37751.4","18299.97","2004672.42","2679836.31"
"2012","1","SOCIEDADES","C105010","0.59","0.59","0.0","11278.64","13264.84"
"2012","1","SOCIEDADES","C107101","783363.87","755500.09","84715.8","1.028538009E7","1.800740108E7"
"2012","1","SOCIEDADES","C107102","221054.86","211960.37","25546.16","3048280.89","4193903.21"
"2012","1","SOCIEDADES","C107109","3182.01","2939.01","38.82","52582.19","65021.71"
"2012","1","SOCIEDADES","C110301","2796476.04","2796476.04","251780.58","2.635717655E7","4.698816611E7"
"2012","2","SOCIEDADES","C105001","236809.47","212163.11","134834.03","1.819108934E7","2.049053785E7"
"2012","2","SOCIEDADES","C105002","0.0","0.0","19143.73","1654324.67","2269139.19"
"2012","2","SOCIEDADES","C105004","2503.18","2422.98","2128.4","596690.05","700987.58"
"2012","2","SOCIEDADES","C105005","1075129.05","1028225.18","718288.73","1.550479979E7","2.37140745E7"
"2012","2","SOCIEDADES","C105006","49622.26","49622.26","11943.67","3731772.93","4348537.09"
"2012","2","SOCIEDADES","C105009","30126.22","27909.03","21793.17","2177763.53","2540331.17"
"2012","2","SOCIEDADES","C105010","0.59","0.59","0.0","14814.14","25697.66"
"2012","2","SOCIEDADES","C107101","205758.01","172009.55","126768.36","9551764.97","1.225712563E7"
"2012","2","SOCIEDADES","C107102","228302.1","219319.68","34138.36","2971748.6","4058563.49"
"2012","2","SOCIEDADES","C107109","4100.95","4100.95","44.79","42284.12","60519.02"
"2012","2","SOCIEDADES","C110301","2786965.08","2786965.08","1178664.12","2.540590348E7","4.569723948E7"
"2012","3","SOCIEDADES","C105001","121411.53","106056.49","136790.12","2.014986349E7","2.412338528E7"
"2012","3","SOCIEDADES","C105002","34394.4","0.0","37735.28","2087487.65","2695298.26"
"2012","3","SOCIEDADES","C105004","2632.78","2438.7","3687.83","751640.58","781361.68"
"2012","3","SOCIEDADES","C105005","1478530.78","1474167.62","277943.24","1.467888517E7","2.589319723E7"
"2012","3","SOCIEDADES","C105006","37626.33","37530.91","14133.03","4247528.14","5139998.53"
"2012","3","SOCIEDADES","C105009","34117.49","32098.56","22857.23","2291362.14","2859381.8"
"2012","3","SOCIEDADES","C105010","0.01","0.01","0.0","17448.46","17234.4"
"2012","3","SOCIEDADES","C107101","458301.67","429530.92","127228.44","1.10925321E7","1.574419612E7"
"2012","3","SOCIEDADES","C107102","227375.03","214590.13","35974.39","3219251.03","4404448.0"
"2012","3","SOCIEDADES","C107109","5433.94","5432.86","71.39","45531.16","73678.18"
"2012","3","SOCIEDADES","C110301","3486457.77","3486457.77","561133.12","2.022223632E7","4.703038739E7"
"2012","4","SOCIEDADES","C105001","316205.39","314630.3","147089.21","1.712513643E7","2.329034804E7"
"2012","4","SOCIEDADES","C105002","5872.46","0.0","19869.96","1682755.71","2151725.87"
"2012","4","SOCIEDADES","C105004","2601.54","2439.31","2593.33","684677.27","782909.47"
"2012","4","SOCIEDADES","C105005","717941.52","715210.72","500354.55","2.218595923E7","2.646540217E7"
"2012","4","SOCIEDADES","C105006","41926.46","41909.97","14195.1","4225477.18","4723724.55"
"2012","4","SOCIEDADES","C105009","32995.65","31076.06","24204.31","2312717.19","2890517.11"
"2012","4","SOCIEDADES","C105010","0.58","0.58","16.67","24260.94","28101.36"
"2012","4","SOCIEDADES","C107101","274634.39","228844.4","138386.56","1.173177237E7","1.473177423E7"
"2012","4","SOCIEDADES","C107102","201562.62","186738.64","35621.81","3770191.21","4359520.31"
"2012","4","SOCIEDADES","C107109","5881.3","5881.3","126.57","53812.79","79820.99"
"2012","4","SOCIEDADES","C110301","3246743.26","3242460.26","381404.84","1.888458137E7","4.432194524E7"
"2012","5","SOCIEDADES","C105001","266011.92","249023.62","143376.07","2.026851084E7","2.516309963E7"
"2012","5","SOCIEDADES","C105002","36051.36","35947.77","46169.45","2490854.05","2204130.59"
"2012","5","SOCIEDADES","C105004","2710.59","2625.32","1703.23","739719.78","838256.86"
"2012","5","SOCIEDADES","C105005","629275.75","622221.2","767257.07","2.564405877E7","2.706662036E7"
"2012","5","SOCIEDADES","C105006","89586.99","89586.99","12547.72","5286027.04","5390269.61"
"2012","5","SOCIEDADES","C105009","58817.71","29016.09","19683.01","2487841.03","3313136.18"
"2012","5","SOCIEDADES","C105010","0.0","0.0","0.0","23385.81","27832.98"
"2012","5","SOCIEDADES","C107101","288179.08","253787.57","165715.16","1.335158352E7","1.649469074E7"
"2012","5","SOCIEDADES","C107102","314012.55","289527.64","36496.63","3278554.98","5031816.36"
"2012","5","SOCIEDADES","C107109","5104.91","5022.26","244.19","56075.58","76727.16"
"2012","5","SOCIEDADES","C110301","3347571.38","3347571.38","1283434.46","2.498786057E7","5.034440255E7"
"2012","6","SOCIEDADES","C105001","385099.84","384593.09","137787.53","1.968709675E7","2.320749298E7"
"2012","6","SOCIEDADES","C105002","22613.95","22613.95","20269.71","1787628.42","2061128.6"
"2012","6","SOCIEDADES","C105004","2983.0","2876.4","2923.7","718556.01","772069.32"
"2012","6","SOCIEDADES","C105005","493799.0","450689.53","447843.1","2.363353057E7","2.450786763E7"
"2012","6","SOCIEDADES","C105006","44737.4","44737.4","18116.97","4490335.95","4982071.74"
"2012","6","SOCIEDADES","C105009","37615.0","33224.63","18164.73","2370779.76","3092526.43"
"2012","6","SOCIEDADES","C105010","0.0","0.0","20.0","10141.27","25920.79"
"2012","6","SOCIEDADES","C107101","164246.91","123816.16","115474.74","1.344466263E7","1.195820686E7"
"2012","6","SOCIEDADES","C107102","235323.28","222777.67","34065.64","3431524.51","4688717.42"
